,BZCAT5 Source name,RA (J2000.0),Dec (J2000.0)
102,5BZQJ0039-1111,00 39 31.57,-11 11 02.39
103,5BZBJ0039+1411,00 39 39.6,+14 11 57.51
104,5BZUJ0040+4050,00 40 13.8,+40 50 04.7
105,5BZBJ0040-2719,00 40 16.4,-27 19 11.6
106,5BZGJ0040-2340,00 40 24.89,-23 40 00.58
107,5BZBJ0040-3225,00 40 30.65,-32 25 20.09
108,5BZQJ0040-0146,00 40 57.6,-01 46 31.9
109,5BZQJ0042-4030,00 42 01.2,-40 30 39.2
110,5BZQJ0042+2320,00 42 04.55,+23 20 01.28
111,5BZBJ0042+3641,00 42 08.09,+36 41 12.98
112,5BZQJ0042+1509,00 42 13.57,+15 09 15.4
113,5BZQJ0042+1009,00 42 44.35,+10 09 49.5
114,5BZUJ0043-2639,00 43 22.72,-26 39 06.01
115,5BZQJ0043+0025,00 43 32.7,+00 25 00.01
116,5BZQJ0043+3426,00 43 48.89,+34 26 25.9
117,5BZQJ0044-3752,00 44 17.04,-37 52 59.19
118,5BZQJ0044-8422,00 44 26.56,-84 22 40.0
119,5BZBJ0045+2127,00 45 19.27,+21 27 40.1
120,5BZQJ0045-2243,00 45 39.59,-22 43 55.09
121,5BZBJ0045+1217,00 45 43.32,+12 17 11.79
122,5BZQJ0046+3900,00 46 47.54,+39 00 47.41
123,5BZBJ0047+5657,00 47 00.42,+56 57 42.4
124,5BZBJ0047+2017,00 47 09.78,+20 17 29.5
125,5BZQJ0047+2435,00 47 43.86,+24 35 15.89
126,5BZQJ0047-8256,00 47 51.38,-82 56 49.41
127,5BZBJ0047+3948,00 47 55.21,+39 48 57.6
128,5BZQJ0048+2235,00 48 02.6,+22 35 24.28
129,5BZGJ0048+3157,00 48 47.14,+31 57 25.2
130,5BZUJ0049-4457,00 49 16.6,-44 57 11.01
131,5BZQJ0049-3116,00 49 22.88,-31 16 27.29
132,5BZQJ0049-2509,00 49 33.72,-25 09 33.98
133,5BZQJ0049+5128,00 49 37.95,+51 28 14.01
134,5BZBJ0049+0237,00 49 43.21,+02 37 03.89
135,5BZQJ0049-5738,00 49 59.51,-57 38 26.69
136,5BZQJ0050-0452,00 50 21.53,-04 52 20.31
137,5BZBJ0050-0929,00 50 41.29,-09 29 04.88
138,5BZQJ0051-0650,00 51 08.2,-06 50 01.89
139,5BZQJ0051-4226,00 51 09.48,-42 26 32.78
140,5BZBJ0051-6242,00 51 16.64,-62 42 04.39
141,5BZQJ0052+4402,00 52 27.82,+44 02 54.59
142,5BZQJ0052-2825,00 52 52.54,-28 25 54.01
