,BZCAT5 Source name,RA (J2000.0),Dec (J2000.0)
446,5BZQJ0253-5441,02 53 29.17,-54 41 51.39
447,5BZQJ0253+5102,02 53 57.6,+51 02 56.5
448,5BZQJ0254+2343,02 54 24.72,+23 43 26.5
449,5BZQJ0254+3931,02 54 42.63,+39 31 34.71
450,5BZQJ0256-2137,02 56 12.84,-21 37 29.09
451,5BZQJ0256-3315,02 56 42.6,-33 15 21.31
452,5BZQJ0257-1212,02 57 40.99,-12 12 01.4
453,5BZGJ0257+1847,02 57 45.63,+18 47 05.38
454,5BZBJ0258+2030,02 58 07.31,+20 30 01.58
455,5BZQJ0258-3909,02 58 14.04,-39 09 40.71
456,5BZQJ0258-5052,02 58 38.75,-50 52 04.4
457,5BZQJ0258+0541,02 58 50.52,+05 41 08.01
458,5BZQJ0259+0747,02 59 27.07,+07 47 39.58
459,5BZQJ0259-0020,02 59 28.51,-00 19 59.98
460,5BZQJ0259+1925,02 59 29.64,+19 25 44.29
461,5BZBJ0301+3441,03 01 03.77,+34 41 01.21
462,5BZQJ0301-1812,03 01 06.73,-18 12 17.6
463,5BZQJ0301+0118,03 01 23.61,+01 18 36.0
464,5BZQJ0301-7156,03 01 38.45,-71 56 34.4
465,5BZBJ0302-0750,03 02 35.77,-07 50 26.91
466,5BZQJ0303-7914,03 03 20.88,-79 14 56.5
467,5BZBJ0303-2407,03 03 26.5,-24 07 11.38
468,5BZGJ0303+0554,03 03 30.19,+05 54 30.2
469,5BZBJ0303+4716,03 03 35.23,+47 16 16.28
470,5BZQJ0303-6211,03 03 50.63,-62 11 25.51
471,5BZBJ0304-2832,03 04 16.32,-28 32 18.09
472,5BZQJ0304-7007,03 04 18.22,-70 07 41.01
473,5BZQJ0304-2024,03 04 26.87,-20 24 06.8
474,5BZQJ0304-4333,03 04 29.14,-43 33 15.98
475,5BZBJ0304-0054,03 04 33.95,-00 54 04.6
476,5BZUJ0304+0002,03 04 58.97,+00 02 35.69
477,5BZBJ0305-0607,03 05 00.54,-06 07 41.41
478,5BZQJ0307-4857,03 07 34.19,-48 57 11.59
479,5BZQJ0308-7812,03 08 42.79,-78 12 41.61
480,5BZBJ0309-3604,03 09 02.51,-36 04 03.79
481,5BZQJ0309+1029,03 09 03.61,+10 29 16.29
482,5BZQJ0309-0559,03 09 23.28,-05 59 20.39
483,5BZBJ0309-0744,03 09 43.24,-07 44 27.49
484,5BZQJ0309-6058,03 09 56.09,-60 58 39.1
485,5BZBJ0310+4056,03 10 06.3,+40 56 54.81
486,5BZQJ0310+3814,03 10 49.87,+38 14 53.8
487,5BZBJ0311-7701,03 11 25.32,-77 01 34.5
488,5BZQJ0311-7651,03 11 55.25,-76 51 50.9
489,5BZQJ0312-5541,03 12 07.19,-55 41 34.79
490,5BZQJ0312+0133,03 12 43.6,+01 33 17.6
491,5BZGJ0312+3615,03 12 50.27,+36 15 19.51
492,5BZUJ0313+4120,03 13 01.96,+41 20 01.21
493,5BZGJ0313+4115,03 13 57.6,+41 15 23.61
494,5BZQJ0314-6548,03 14 22.43,-65 48 24.8
495,5BZBJ0314+0619,03 14 23.89,+06 19 56.89
496,5BZBJ0314-5104,03 14 25.68,-51 04 31.69
497,5BZBJ0315-1656,03 15 27.67,-16 56 29.68
498,5BZQJ0315-2939,03 15 31.2,-29 39 59.0
499,5BZQJ0315-1031,03 15 56.88,-10 31 39.5
500,5BZBJ0316+0904,03 16 12.71,+09 04 43.28
501,5BZBJ0316-6437,03 16 14.34,-64 37 31.51
502,5BZBJ0316-2607,03 16 14.93,-26 07 57.21
503,5BZBJ0316-2216,03 16 33.74,-22 16 12.79
504,5BZQJ0317-2803,03 17 33.66,-28 03 18.61
505,5BZUJ0317+0248,03 17 47.92,+02 48 42.4
506,5BZQJ0319-1613,03 19 05.52,-16 13 46.7
507,5BZUJ0319+4130,03 19 48.16,+41 30 42.08
508,5BZGJ0319+1901,03 19 51.25,+19 01 31.29
509,5BZGJ0319+1845,03 19 51.79,+18 45 34.48
510,5BZQJ0320-3837,03 20 46.39,-38 37 28.48
511,5BZGJ0320-7500,03 20 52.2,-75 00 38.08
512,5BZQJ0321-3122,03 21 28.74,-31 22 56.31
513,5BZQJ0321-0526,03 21 59.87,-05 26 12.4
514,5BZBJ0321+2336,03 21 59.93,+23 36 11.01
515,5BZQJ0322-5205,03 22 08.22,-52 05 35.01
516,5BZQJ0322-5042,03 22 12.42,-50 42 33.08
517,5BZQJ0322-1335,03 22 38.45,-13 35 17.7
518,5BZBJ0323-0111,03 23 43.61,-01 11 46.1
519,5BZBJ0323+0717,03 23 50.79,+07 17 37.1
520,5BZBJ0323-0108,03 23 56.64,-01 08 29.61
521,5BZUJ0324+3410,03 24 41.16,+34 10 45.91
522,5BZQJ0324-2918,03 24 44.29,-29 18 21.2
523,5BZQJ0325-2140,03 25 00.79,-21 40 41.48
524,5BZQJ0325-2415,03 25 13.38,-24 15 48.09
525,5BZQJ0325-5629,03 25 22.66,-56 29 04.81
526,5BZQJ0325+2224,03 25 36.81,+22 24 00.39
527,5BZBJ0325-1646,03 25 41.09,-16 46 16.78
528,5BZBJ0326+0225,03 26 13.97,+02 25 14.69
529,5BZQJ0326-3243,03 26 15.05,-32 43 24.99
530,5BZQJ0326-5337,03 26 50.94,-53 37 01.41
531,5BZQJ0327+0044,03 27 59.22,+00 44 22.7
532,5BZQJ0327-2202,03 27 59.92,-22 02 06.39
533,5BZUJ0329+3510,03 29 15.35,+35 10 05.98
534,5BZQJ0329-2357,03 29 54.07,-23 57 08.78
535,5BZQJ0331-2524,03 31 08.93,-25 24 43.19
536,5BZUJ0332-1119,03 32 23.24,-11 19 50.59
537,5BZQJ0332-7249,03 32 43.0,-72 49 04.51
538,5BZQJ0332-4455,03 32 44.1,-44 55 56.99
539,5BZBJ0333-3619,03 33 12.28,-36 19 46.7
540,5BZBJ0333+2916,03 33 49.0,+29 16 31.51
541,5BZBJ0333+6536,03 33 56.74,+65 36 56.19
542,5BZBJ0334-4008,03 34 13.64,-40 08 25.4
543,5BZBJ0334-3725,03 34 15.42,-37 25 43.1
544,5BZQJ0334+0800,03 34 53.32,+08 00 14.39
545,5BZBJ0335-4459,03 35 13.9,-44 59 39.98
546,5BZBJ0336-0347,03 36 23.8,-03 47 38.61
547,5BZQJ0336+3218,03 36 30.11,+32 18 29.3
548,5BZQJ0336-1302,03 36 35.03,-13 02 04.7
549,5BZQJ0336-3616,03 36 54.0,-36 16 06.2
550,5BZQJ0337-1204,03 37 55.44,-12 04 04.51
551,5BZQJ0338+3106,03 38 00.34,+31 06 09.68
552,5BZBJ0338-2443,03 38 12.49,-24 43 50.3
553,5BZQJ0339-0133,03 39 00.96,-01 33 17.2
554,5BZQJ0339-0146,03 39 30.94,-01 46 35.79
555,5BZQJ0340-6703,03 40 28.24,-67 03 16.48
556,5BZBJ0340-2119,03 40 35.61,-21 19 31.18
557,5BZQJ0341+3352,03 41 09.97,+33 52 21.61
558,5BZQJ0341-5954,03 41 21.6,-59 54 08.89
559,5BZUJ0342+3859,03 42 16.25,+38 59 06.21
560,5BZQJ0343-2530,03 43 19.51,-25 30 17.38
561,5BZQJ0343+3622,03 43 28.95,+36 22 12.39
562,5BZQJ0343-1141,03 43 41.98,-11 41 37.71
563,5BZQJ0344+1559,03 44 23.16,+15 59 43.4
564,5BZQJ0345+1453,03 45 06.42,+14 53 49.59
565,5BZQJ0345-0023,03 45 33.67,-00 23 02.68
566,5BZQJ0347+4842,03 47 11.6,+48 42 37.51
567,5BZQJ0348-2749,03 48 38.14,-27 49 13.58
568,5BZBJ0348-1610,03 48 39.27,-16 10 17.79
569,5BZBJ0349-1159,03 49 23.2,-11 59 26.98
570,5BZQJ0349-2102,03 49 57.83,-21 02 47.68
571,5BZQJ0350+5138,03 50 25.04,+51 38 38.68
572,5BZQJ0351-1153,03 51 10.98,-11 53 22.7
573,5BZQJ0351-7921,03 51 25.5,-79 21 56.3
574,5BZBJ0351-3703,03 51 54.56,-37 03 44.2
575,5BZBJ0353-3623,03 53 05.03,-36 23 08.41
576,5BZQJ0354-1616,03 54 25.02,-16 16 22.51
577,5BZBJ0354+8009,03 54 46.13,+80 09 28.8
578,5BZBJ0357-4955,03 57 00.17,-49 55 48.61
579,5BZUJ0357+2319,03 57 21.6,+23 19 53.79
580,5BZQJ0357-4812,03 57 21.91,-48 12 15.19
581,5BZQJ0357-4159,03 57 36.77,-41 59 01.28
582,5BZQJ0357-0751,03 57 43.29,-07 51 14.61
583,5BZQJ0357+0542,03 57 46.13,+05 42 31.28
584,5BZBJ0358-3054,03 58 56.1,-30 54 47.8
585,5BZQJ0359+5057,03 59 29.75,+50 57 50.18
586,5BZBJ0359-2615,03 59 33.67,-26 15 31.28
587,5BZQJ0359+3220,03 59 44.9,+32 20 47.18
588,5BZQJ0400+0550,04 00 11.74,+05 50 43.11
589,5BZGJ0401-1606,04 01 06.64,-16 06 38.98
590,5BZBJ0401+8153,04 01 28.72,+81 53 11.9
591,5BZQJ0401+2110,04 01 45.17,+21 10 28.59
592,5BZBJ0402-2615,04 02 00.77,-26 15 39.31
593,5BZQJ0402-3147,04 02 21.27,-31 47 25.9
594,5BZQJ0403+2600,04 03 05.58,+26 00 01.51
595,5BZBJ0403-2429,04 03 24.55,-24 29 49.81
596,5BZQJ0403-2444,04 03 41.74,-24 44 08.48
597,5BZQJ0403-3605,04 03 53.75,-36 05 01.89
598,5BZQJ0405-0739,04 05 00.79,-07 39 20.41
599,5BZQJ0405-1308,04 05 34.0,-13 08 13.7
600,5BZQJ0406-1749,04 06 12.23,-17 49 57.9
601,5BZQJ0406+0637,04 06 34.31,+06 37 15.09
602,5BZUJ0406-3826,04 06 59.03,-38 26 27.99
603,5BZBJ0407+0742,04 07 29.09,+07 42 07.48
604,5BZQJ0407-3303,04 07 33.9,-33 03 46.4
605,5BZUJ0407-1211,04 07 48.42,-12 11 36.7
606,5BZQJ0409-1238,04 09 05.76,-12 38 48.08
607,5BZBJ0409-0555,04 09 11.34,-05 55 29.31
608,5BZBJ0409+1217,04 09 22.01,+12 17 39.8
609,5BZBJ0409+0640,04 09 25.85,+06 40 35.11
610,5BZBJ0409-0400,04 09 46.59,-04 00 03.6
611,5BZQJ0410-7750,04 10 42.3,-77 50 43.29
612,5BZQJ0410-1636,04 10 59.4,-16 36 10.0
613,5BZBJ0411-3941,04 11 11.25,-39 41 42.61
614,5BZQJ0411-5149,04 11 37.14,-51 49 23.41
615,5BZQJ0412+0010,04 12 33.46,+00 10 48.5
616,5BZQJ0412+0438,04 12 38.18,+04 38 06.1
617,5BZQJ0412-4604,04 12 50.28,-46 04 49.69
618,5BZQJ0413-5332,04 13 13.48,-53 32 00.49
619,5BZQJ0415-4023,04 15 14.45,-40 23 41.1
620,5BZUJ0416-2056,04 16 04.36,-20 56 27.49
621,5BZUJ0416-4355,04 16 05.81,-43 55 14.59
622,5BZQJ0416-1851,04 16 36.53,-18 51 08.31
623,5BZBJ0416+0105,04 16 52.49,+01 05 23.89
624,5BZQJ0419-2132,04 19 00.42,-21 32 35.7
625,5BZQJ0419-3010,04 19 47.21,-30 10 23.8
626,5BZQJ0420-1501,04 20 18.38,-15 01 26.61
627,5BZQJ0421-4818,04 21 27.48,-48 18 05.18
628,5BZBJ0421-0629,04 21 32.92,-06 29 03.19
629,5BZQJ0422-0643,04 22 10.79,-06 43 45.3
630,5BZQJ0422-3844,04 22 14.78,-38 44 52.9
631,5BZBJ0422+1950,04 22 18.32,+19 50 54.99
632,5BZQJ0422+1741,04 22 47.77,+17 41 15.9
633,5BZQJ0422+0219,04 22 52.2,+02 19 26.9
634,5BZQJ0423-0120,04 23 15.79,-01 20 33.1
635,5BZBJ0423+4150,04 23 56.0,+41 50 02.68
636,5BZQJ0424+0204,04 24 08.56,+02 04 24.99
637,5BZQJ0424-3848,04 24 33.72,-38 48 41.61
638,5BZQJ0424-3756,04 24 42.23,-37 56 20.79
639,5BZBJ0424+0036,04 24 46.84,+00 36 06.4
640,5BZQJ0424+0805,04 24 57.59,+08 05 17.01
641,5BZBJ0425-5331,04 25 04.26,-53 31 58.29
642,5BZQJ0425-5754,04 25 04.72,-57 54 55.69
643,5BZGJ0425-0833,04 25 51.31,-08 33 39.88
644,5BZQJ0426+0518,04 26 36.6,+05 18 19.9
645,5BZQJ0427-0756,04 27 14.22,-07 56 24.89
646,5BZQJ0428+3259,04 28 05.81,+32 59 52.0
647,5BZQJ0428+1732,04 28 35.63,+17 32 23.6
648,5BZBJ0428-3756,04 28 40.42,-37 56 19.6
649,5BZGJ0428-3805,04 28 50.86,-38 05 50.49
650,5BZBJ0429-3236,04 29 00.17,-32 36 41.18
651,5BZQJ0429-4328,04 29 25.01,-43 28 36.51
652,5BZBJ0430-2507,04 30 16.01,-25 07 38.89
653,5BZQJ0431-0406,04 31 28.08,-04 06 27.28
654,5BZUJ0431+1731,04 31 57.37,+17 31 35.79
655,5BZQJ0432-5109,04 32 21.17,-51 09 25.19
656,5BZUJ0433+0521,04 33 11.09,+05 21 15.58
657,5BZBJ0433-4502,04 33 13.84,-45 02 54.59
658,5BZQJ0433-6030,04 33 34.11,-60 30 13.78
659,5BZBJ0433+2905,04 33 37.83,+29 05 55.49
660,5BZQJ0433+3237,04 33 40.67,+32 37 11.49
661,5BZQJ0434-4355,04 34 03.24,-43 55 47.2
662,5BZBJ0434-2015,04 34 07.91,-20 15 17.2
663,5BZQJ0434-1442,04 34 19.02,-14 42 55.4
664,5BZBJ0434-2342,04 34 28.97,-23 42 05.29
665,5BZQJ0435-0811,04 35 08.34,-08 11 03.08
666,5BZQJ0435+2532,04 35 34.57,+25 32 59.71
667,5BZQJ0435+2923,04 35 58.37,+29 23 36.38
668,5BZQJ0437-1844,04 37 01.48,-18 44 48.58
669,5BZQJ0437-2954,04 37 36.56,-29 54 04.1
670,5BZQJ0438+3004,04 38 04.94,+30 04 45.51
671,5BZQJ0438-1251,04 38 35.02,-12 51 03.38
672,5BZQJ0438-2012,04 38 50.49,-20 12 26.38
673,5BZBJ0439-4522,04 39 00.84,-45 22 22.51
674,5BZGJ0439+0520,04 39 02.26,+05 20 43.69
675,5BZUJ0439-3210,04 39 33.88,-32 10 09.8
676,5BZQJ0439-3017,04 39 53.2,-30 17 45.59
677,5BZQJ0440-4333,04 40 17.17,-43 33 08.6
678,5BZBJ0440-2459,04 40 18.56,-24 59 34.11
679,5BZUJ0440+1437,04 40 21.13,+14 37 57.0
680,5BZBJ0440+2750,04 40 50.38,+27 50 46.78
681,5BZQJ0441-4313,04 41 17.28,-43 13 43.6
682,5BZBJ0441-2952,04 41 19.49,-29 52 36.3
683,5BZBJ0441+1504,04 41 27.47,+15 04 55.59
684,5BZBJ0442-0018,04 42 30.2,-00 18 29.8
685,5BZQJ0442-2825,04 42 37.66,-28 25 30.89
686,5BZQJ0442-0017,04 42 38.65,-00 17 43.4
687,5BZGJ0445-6014,04 45 01.51,-60 14 59.71
688,5BZQJ0446+3900,04 46 11.48,+39 00 17.1
689,5BZQJ0447-0322,04 47 54.73,-03 22 42.31
690,5BZQJ0448-3659,04 48 15.04,-36 59 02.18
691,5BZQJ0448-2109,04 48 17.38,-21 09 44.71
692,5BZQJ0448-5041,04 48 22.3,-50 41 33.79
693,5BZQJ0448-2626,04 48 23.95,-26 26 14.78
694,5BZBJ0448-1632,04 48 37.63,-16 32 42.79
695,5BZQJ0448-7417,04 48 48.54,-74 17 31.2
696,5BZQJ0448+1127,04 48 50.4,+11 27 54.39
697,5BZQJ0449+1121,04 49 07.67,+11 21 28.58
698,5BZQJ0449+6332,04 49 23.3,+63 32 09.38
699,5BZBJ0449-4350,04 49 24.7,-43 50 08.98
700,5BZQJ0449-4809,04 49 39.59,-48 09 40.71
701,5BZQJ0449-3911,04 49 42.24,-39 11 09.49
702,5BZQJ0449-0057,04 49 42.89,-00 57 22.28
703,5BZQJ0450-8101,04 50 05.44,-81 01 02.2
704,5BZQJ0450-1837,04 50 35.9,-18 37 00.4
705,5BZQJ0451-4653,04 51 53.34,-46 53 19.89
706,5BZQJ0452+1236,04 52 42.59,+12 36 24.58
707,5BZQJ0453-2807,04 53 14.64,-28 07 37.3
708,5BZQJ0455-4615,04 55 50.76,-46 15 58.71
709,5BZQJ0456-3136,04 56 36.67,-31 36 12.49
710,5BZQJ0456+0400,04 56 47.16,+04 00 52.88
711,5BZQJ0457-2324,04 57 03.18,-23 24 51.98
712,5BZQJ0457+0645,04 57 07.71,+06 45 07.3
713,5BZQJ0457-1819,04 57 54.33,-18 19 16.1
714,5BZQJ0501-0159,05 01 12.81,-01 59 14.31
715,5BZQJ0502+0609,05 02 15.44,+06 09 07.48
716,5BZBJ0502+1338,05 02 33.2,+13 38 10.89
717,5BZBJ0503+6534,05 03 05.81,+65 34 01.19
718,5BZBJ0503-1115,05 03 35.43,-11 15 06.08
719,5BZQJ0503+6600,05 03 56.44,+66 00 31.5
720,5BZQJ0503+3403,05 03 56.77,+34 03 28.11
721,5BZUJ0504-6049,05 04 01.69,-60 49 52.49
722,5BZQJ0505+0459,05 05 23.17,+04 59 42.68
723,5BZBJ0505+0415,05 05 34.78,+04 15 54.68
724,5BZQJ0505-0419,05 05 51.23,-04 19 26.61
725,5BZQJ0505-2930,05 05 55.84,-29 30 38.19
726,5BZBJ0505+6113,05 05 58.79,+61 13 35.9
727,5BZBJ0506-0858,05 06 39.89,-08 58 01.59
728,5BZQJ0506-6109,05 06 43.98,-61 09 41.0
729,5BZBJ0506-5435,05 06 57.79,-54 35 03.8
730,5BZQJ0507-6104,05 07 54.66,-61 04 43.1
731,5BZBJ0507+6737,05 07 56.25,+67 37 24.38
732,5BZQJ0508-6433,05 08 20.39,-64 33 17.31
733,5BZBJ0508+8432,05 08 42.36,+84 32 04.48
734,5BZBJ0509+0541,05 09 25.96,+05 41 35.3
735,5BZQJ0509+1011,05 09 27.46,+10 11 44.59
736,5BZBJ0509-0400,05 09 38.14,-04 00 45.5
737,5BZBJ0509-2514,05 09 39.85,-25 14 03.58
738,5BZQJ0510+1800,05 10 02.36,+18 00 41.61
739,5BZQJ0511+1357,05 11 38.31,+13 57 19.11
740,5BZQJ0513+0100,05 13 40.02,+01 00 21.6
741,5BZQJ0513-2159,05 13 49.11,-21 59 16.11
742,5BZQJ0514+5602,05 14 18.7,+56 02 11.11
743,5BZQJ0515-4556,05 15 45.23,-45 56 43.29
744,5BZBJ0515+1527,05 15 47.34,+15 27 16.48
745,5BZQJ0516-1603,05 16 15.93,-16 03 07.59
746,5BZBJ0516+7351,05 16 31.2,+73 51 08.6
747,5BZBJ0516-6207,05 16 44.93,-62 07 05.41
748,5BZQJ0516-1537,05 16 57.18,-15 37 10.41
749,5BZQJ0517-0520,05 17 28.11,-05 20 40.81
750,5BZUJ0517+0858,05 17 40.04,+08 58 35.79
751,5BZQJ0517+0648,05 17 51.34,+06 48 03.2
752,5BZQJ0521-1737,05 21 23.56,-17 37 30.21
753,5BZBJ0521+2112,05 21 45.96,+21 12 51.51
754,5BZQJ0522+0113,05 22 17.46,+01 13 31.18
755,5BZQJ0522-0725,05 22 23.2,-07 25 13.4
756,5BZQJ0522-6107,05 22 34.43,-61 07 57.1
757,5BZQJ0522-1627,05 22 44.64,-16 27 52.41
758,5BZUJ0522-3627,05 22 57.97,-36 27 30.81
759,5BZQJ0523-2614,05 23 18.47,-26 14 09.6
760,5BZUJ0525-3343,05 25 06.17,-33 43 05.48
761,5BZQJ0525-2338,05 25 06.51,-23 38 10.78
762,5BZQJ0525-4557,05 25 31.39,-45 57 54.68
763,5BZQJ0525-4318,05 25 54.89,-43 18 01.18
764,5BZQJ0526-4830,05 26 16.67,-48 30 36.79
765,5BZBJ0527+0331,05 27 32.7,+03 31 31.51
766,5BZUJ0528-5820,05 28 34.72,-58 20 17.3
767,5BZQJ0529-0519,05 29 53.52,-05 19 41.59
768,5BZQJ0530-2503,05 30 07.96,-25 03 29.91
769,5BZQJ0530+1331,05 30 56.41,+13 31 55.09
770,5BZQJ0532-3848,05 32 02.05,-38 48 54.28
771,5BZUJ0532-0307,05 32 07.51,-03 07 06.99
772,5BZQJ0532+0732,05 32 38.99,+07 32 43.29
773,5BZQJ0533+4822,05 33 15.86,+48 22 52.78
774,5BZQJ0533-8324,05 33 36.77,-83 24 34.09
775,5BZBJ0533-4632,05 33 40.81,-46 32 15.0
776,5BZBJ0533-7216,05 33 44.7,-72 16 24.31
777,5BZQJ0534-3747,05 34 17.48,-37 47 25.8
778,5BZQJ0534-6106,05 34 35.76,-61 06 07.09
779,5BZQJ0535-0239,05 35 12.25,-02 39 06.69
780,5BZQJ0536-3401,05 36 28.43,-34 01 11.49
781,5BZBJ0536-3343,05 36 29.06,-33 43 02.38
782,5BZBJ0537-5718,05 37 48.95,-57 18 30.2
783,5BZUJ0538-3908,05 38 10.36,-39 08 42.5
784,5BZBJ0538-4405,05 38 50.35,-44 05 08.91
785,5BZQJ0539-3427,05 39 05.45,-34 27 12.7
786,5BZUJ0539-1550,05 39 32.0,-15 50 30.29
787,5BZQJ0539+1433,05 39 42.36,+14 33 45.61
788,5BZQJ0539-2839,05 39 54.28,-28 39 55.9
789,5BZBJ0540+2507,05 40 14.33,+25 07 55.3
790,5BZBJ0540+5823,05 40 30.0,+58 23 38.39
791,5BZQJ0540-5418,05 40 45.84,-54 18 22.1
792,5BZQJ0541+5312,05 41 16.17,+53 12 24.8
793,5BZQJ0541-0541,05 41 38.08,-05 41 49.41
794,5BZBJ0543-5532,05 43 57.2,-55 32 07.4
795,5BZQJ0544-2241,05 44 07.56,-22 41 09.99
796,5BZQJ0546-6415,05 46 41.83,-64 15 21.88
797,5BZBJ0546-2204,05 46 56.76,-22 04 55.7
798,5BZQJ0547-6728,05 47 50.22,-67 28 01.7
799,5BZQJ0549-5246,05 49 43.8,-52 46 26.0
800,5BZQJ0550-5732,05 50 09.54,-57 32 24.28
801,5BZGJ0550-3216,05 50 40.56,-32 16 17.29
802,5BZQJ0551-1909,05 51 55.26,-19 09 20.98
803,5BZBJ0553-2034,05 53 33.1,-20 34 18.69
804,5BZQJ0554+6857,05 54 00.81,+68 57 54.39
805,5BZQJ0555+3948,05 55 30.8,+39 48 49.21
806,5BZBJ0556-4351,05 56 18.73,-43 51 46.0
807,5BZQJ0557+2413,05 57 04.71,+24 13 55.3
808,5BZQJ0558-1317,05 58 02.54,-13 17 41.2
809,5BZBJ0558-3838,05 58 06.1,-38 38 29.5
810,5BZBJ0558-7459,05 58 46.03,-74 59 05.2
811,5BZQJ0559-4529,05 59 11.55,-45 29 40.2
812,5BZQJ0559+5804,05 59 13.38,+58 04 03.39
813,5BZQJ0600-3937,06 00 31.38,-39 37 02.38
814,5BZBJ0601+3838,06 01 02.86,+38 38 29.18
815,5BZQJ0601-7036,06 01 11.18,-70 36 08.78
816,5BZQJ0601+2324,06 01 47.35,+23 24 53.49
817,5BZQJ0601-2736,06 01 48.71,-27 36 21.99
818,5BZQJ0601-2004,06 01 52.83,-20 04 45.19
819,5BZQJ0603+1742,06 03 09.12,+17 42 16.81
820,5BZQJ0603-1716,06 03 57.72,-17 16 28.19
821,5BZBJ0604-4817,06 04 08.64,-48 17 25.4
822,5BZQJ0604-4225,06 04 25.17,-42 25 30.1
823,5BZQJ0604+2429,06 04 55.12,+24 29 54.99
824,5BZQJ0606-0724,06 06 43.55,-07 24 30.2
825,5BZQJ0606-0024,06 06 57.42,-00 24 57.7
826,5BZBJ0607-2518,06 07 14.38,-25 18 59.5
827,5BZBJ0607+4739,06 07 23.24,+47 39 46.9
828,5BZQJ0607+6720,06 07 52.67,+67 20 55.39
829,5BZQJ0607-0834,06 07 59.7,-08 34 50.01
830,5BZUJ0608-1520,06 08 01.52,-15 20 36.99
831,5BZQJ0608-2220,06 08 59.69,-22 20 20.9
832,5BZBJ0609-0247,06 09 15.05,-02 47 54.6
833,5BZQJ0609-0615,06 09 39.94,-06 15 05.79
834,5BZQJ0609-1542,06 09 40.95,-15 42 40.71
835,5BZBJ0610-1847,06 10 17.88,-18 47 40.09
836,5BZQJ0610-6058,06 10 30.3,-60 58 38.09
837,5BZQJ0610-2301,06 10 38.79,-23 01 45.8
838,5BZQJ0612-4337,06 12 28.61,-43 37 48.39
839,5BZQJ0612-3138,06 12 29.65,-31 38 58.19
840,5BZBJ0612+4122,06 12 51.18,+41 22 37.41
841,5BZBJ0613+7107,06 13 43.32,+71 07 26.68
842,5BZQJ0613+1306,06 13 57.68,+13 06 45.39
843,5BZQJ0614-2536,06 14 17.21,-25 36 53.49
844,5BZQJ0614+6046,06 14 23.87,+60 46 21.79
845,5BZBJ0615-3117,06 15 19.24,-31 17 21.51
846,5BZQJ0617-2200,06 17 02.04,-22 00 28.11
847,5BZBJ0617+5701,06 17 16.91,+57 01 16.39
848,5BZGJ0617-1715,06 17 33.41,-17 15 24.8
849,5BZQJ0617+7816,06 17 56.94,+78 16 07.39
850,5BZQJ0618+4620,06 18 08.22,+46 20 16.0
851,5BZQJ0618-7843,06 18 30.09,-78 43 02.2
852,5BZUJ0619-1140,06 19 04.09,-11 40 54.91
853,5BZUJ0620-2515,06 20 32.11,-25 15 17.49
854,5BZBJ0621+1747,06 21 47.75,+17 47 35.08
855,5BZBJ0621-3411,06 21 49.68,-34 11 49.41
856,5BZUJ0621+3750,06 21 57.63,+37 50 57.01
857,5BZQJ0622-1927,06 22 28.54,-19 27 18.21
858,5BZUJ0622+3326,06 22 52.21,+33 26 10.39
859,5BZQJ0623-6436,06 23 07.68,-64 36 20.8
860,5BZQJ0623-4413,06 23 31.79,-44 13 02.49
861,5BZBJ0623-5257,06 23 37.86,-52 57 56.01
862,5BZQJ0624+3856,06 24 19.01,+38 56 48.69
863,5BZBJ0624-3230,06 24 45.05,-32 30 55.29
864,5BZBJ0625+4440,06 25 18.27,+44 40 01.59
865,5BZQJ0625-5438,06 25 52.21,-54 38 51.0
866,5BZBJ0628-6248,06 28 57.48,-62 48 44.71
867,5BZBJ0629-1959,06 29 23.76,-19 59 19.71
868,5BZQJ0630-1323,06 30 53.89,-13 23 34.51
869,5BZBJ0630-2406,06 30 59.51,-24 06 46.18
870,5BZQJ0631-4154,06 31 11.99,-41 54 26.89
871,5BZQJ0631-1410,06 31 20.22,-14 10 31.79
872,5BZQJ0631+5311,06 31 34.72,+53 11 27.6
873,5BZQJ0632-5404,06 32 01.15,-54 04 57.5
874,5BZQJ0632-2614,06 32 06.52,-26 14 12.8
875,5BZQJ0632+3200,06 32 30.77,+32 00 53.6
876,5BZQJ0633-2223,06 33 26.76,-22 23 22.7
877,5BZBJ0635-2620,06 35 20.9,-26 20 39.91
878,5BZQJ0635-7516,06 35 46.5,-75 16 16.78
879,5BZQJ0636-2113,06 36 00.59,-21 13 12.21
880,5BZBJ0639-3346,06 39 20.89,-33 46 00.08
881,5BZQJ0639+7324,06 39 21.95,+73 24 57.99
882,5BZQJ0642+6758,06 42 04.26,+67 58 35.61
883,5BZQJ0642-6150,06 42 46.99,-61 50 08.69
884,5BZGJ0643+4214,06 43 26.76,+42 14 18.81
885,5BZQJ0644-3459,06 44 25.27,-34 59 41.89
886,5BZQJ0644+3914,06 44 53.7,+39 14 47.5
887,5BZUJ0645+6024,06 45 01.56,+60 24 45.0
888,5BZQJ0646-3903,06 46 30.91,-39 03 39.09
889,5BZQJ0646+4451,06 46 32.03,+44 51 16.59
890,5BZQJ0648-4347,06 48 13.42,-43 47 15.61
891,5BZQJ0648-3044,06 48 14.1,-30 44 19.71
892,5BZQJ0648-1744,06 48 28.49,-17 44 05.49
893,5BZBJ0648+1516,06 48 47.64,+15 16 24.81
894,5BZQJ0649-5920,06 49 28.61,-59 20 28.6
895,5BZQJ0650+6001,06 50 31.25,+60 01 44.61
